Id,Start time,Completion time,Email,Name,Age,Gender,Year of Study,How far is your home from the university?,What is the type of your high school education,National Education Category,International Education,High School Average,How many hours do you study in a week?,How many hours do you sleep daily?,What was your score in MID exam?,What is your current GPA?,Do you work while studying?,Type of work,Are you a business owner or an employee?,How satisfied are you about your experience at the University of Petra?,How satisfied are you about the Business Intelligence major?,Rank your top concerns about your experience in the university,How likely are you to recommend the University of Petra to a friend or colleague?,How likely are you to recommend studying Business Intelligence at the University of Perta to a friend or colleague?
13,12/18/2024 6:48,12/18/2024 6:50,anonymous,,22,Male,Third,> 10 KM,National,Scientific Branch,,70,5,8,21,2.54,No,,,5,5,Quality of Education;Reputation of the University;Tuition;Facilities and Services for Students;Transportation;,10,10
14,12/18/2024 7:40,12/18/2024 7:45,anonymous,,22,Female,Fifth,> 10 KM,National,,,80,4,8,27,2.67,No,,,4,4,Quality of Education;Facilities and Services for Students;Tuition;Reputation of the University;Transportation;,8,8
15,12/18/2024 8:12,12/18/2024 8:19,anonymous,,21,Female,Fourth,> 10 KM,National,Scientific Branch,,96,2,6,22,2.68,No,,,4,5,Quality of Education;Reputation of the University;Facilities and Services for Students;Tuition;Transportation;,8,10
16,12/18/2024 8:12,12/18/2024 8:19,anonymous,,21,Female,Fourth,> 10 KM,National,Literary Education,,87,14,8,22,3.02,No,,,4,5,Tuition;Reputation of the University;Quality of Education;Transportation;Facilities and Services for Students;,8,9
17,12/18/2024 8:19,12/18/2024 8:21,anonymous,,24,Male,Fourth,5-10 KM,National,Scientific Branch,,90,12,7,18,2.40,No,,,5,4,Facilities and Services for Students;Quality of Education;Tuition;Transportation;Reputation of the University;,8,10
18,12/18/2024 8:54,12/18/2024 8:56,anonymous,,21,Male,Second,5-10 KM,National,Literary Education,,75,1,3,28,2.7,Yes,Part-Time,Employee,4,5,Quality of Education;Tuition;Reputation of the University;Facilities and Services for Students;Transportation;,7,8
19,12/18/2024 8:54,12/18/2024 8:57,anonymous,,21,Male,Fourth,0-5 KM,National,Scientific Branch,,80,7,4,27,2.49,Yes,Part-Time,Employee,4,5,Tuition;Reputation of the University;Facilities and Services for Students;Transportation;Quality of Education;,9,10
20,12/18/2024 8:55,12/18/2024 8:57,anonymous,,,Female,Fourth,0-5 KM,National,Scientific Branch,,82,0,6,15,2.2,Yes,Full-Time,Employee,5,5,Quality of Education;Tuition;Facilities and Services for Students;Reputation of the University;Transportation;,5,8
21,12/18/2024 8:54,12/18/2024 8:57,anonymous,,21,Male,Third,> 10 KM,International,,SAT,85,4,10,10,,Yes,Full-Time,Business Owner,4,4,Facilities and Services for Students;Reputation of the University;Quality of Education;Tuition;Transportation;,9,9
22,12/18/2024 8:54,12/18/2024 8:59,anonymous,,21,Female,Fourth,5-10 KM,National,Literary Education,,87.7,8,6,29,3.47,No,,,3,2,Quality of Education;Tuition;Transportation;Facilities and Services for Students;Reputation of the University;,8,6
23,12/18/2024 8:54,12/18/2024 9:00,anonymous,,21,Female,Fourth,5-10 KM,National,Literary Education,,96.2,3,7,26.5,3.4,No,,,2,5,Quality of Education;Transportation;Tuition;Facilities and Services for Students;Reputation of the University;,5,6
24,12/18/2024 8:58,12/18/2024 9:03,anonymous,,22,Female,Fourth,> 10 KM,National,Literary Education,,78,12,8,25.75,2,No,,,3,5,Quality of Education;Reputation of the University;Tuition;Transportation;Facilities and Services for Students;,8,10
25,12/18/2024 8:54,12/18/2024 10:15,anonymous,,20,Female,Third,> 10 KM,National,Scientific Branch,,80,20,8,20,3.2,No,,,4,5,Quality of Education;Reputation of the University;Facilities and Services for Students;Transportation;Tuition;,7,3
26,12/18/2024 11:48,12/18/2024 11:51,anonymous,,,Male,Fourth,5-10 KM,National,Literary Education,,76.5,8,6,26,2.4,Yes,Part-Time,Employee,4,4,Quality of Education;Tuition;Reputation of the University;Facilities and Services for Students;Transportation;,7,7
27,12/19/2024 19:29,12/19/2024 19:31,anonymous,,22,Female,Fourth,0-5 KM,National,Literary Education,,77,7,8,15,2,No,,,3,3,Quality of Education;Reputation of the University;Tuition;Facilities and Services for Students;Transportation;,,7
28,12/20/2024 12:40,12/20/2024 12:43,anonymous,,22,Male,Fourth,0-5 KM,National,Literary Education,,100,0,8,24,,Yes,Part-Time,Employee,4,5,Quality of Education;Facilities and Services for Students;Reputation of the University;Transportation;Tuition;,9,9
